user,text,Positive,Negative,Neutral,Compound,Sentiment,tokenized,no_stopword,stemmed,lemmatized
MRTheChez,i think that twitch did a little too much defending on the wrong sites saying words like virgin incel or,0.106,0.131,0.763,-0.1531,Negative,"['i', 'think', 'that', 'twitch', 'did', 'a', 'little', 'too', 'much', 'defending', 'on', 'the', 'wrong', 'sites', 'saying', 'words', 'like', 'virgin', 'incel', 'or']",think twitch little much defending wrong sites saying words like virgin incel,"['think', 'twitch', 'littl', 'much', 'defend', 'wrong', 'site', 'say', 'word', 'like', 'virgin', 'incel']","['think', 'twitch', 'little', 'much', 'defend', 'wrong', 'site', 'say', 'word', 'like', 'virgin', 'incel']"
BlueBer15021182,great,0.804,0.0,0.196,0.6249,Positive,['great'],great,['great'],['great']
LyTtLeHands,what about the fact that some bitch got fucked on your platform  twice  and the first time she only got a 7 day ban,0.0,0.382,0.618,-0.9244,Negative,"['what', 'about', 'the', 'fact', 'that', 'some', 'bitch', 'got', 'fucked', 'on', 'your', 'platform', 'twice', 'and', 'the', 'first', 'time', 'she', 'only', 'got', 'a', '7', 'day', 'ban']",fact bitch got fucked platform twice first time got 7 day ban,"['fact', 'bitch', 'got', 'fuck', 'platform', 'twice', 'first', 'time', 'got', '7', 'day', 'ban']","['fact', 'bitch', 'get', 'fucked', 'platform', 'twice', 'first', 'time', 'get', '7', 'day', 'ban']"
fecx11,finally good job for once twitch,0.444,0.0,0.556,0.7004,Positive,"['finally', 'good', 'job', 'for', 'once', 'twitch']",finally good job twitch,"['final', 'good', 'job', 'twitch']","['finally', 'good', 'job', 'twitch']"
EmilFahel,come to rumblevideo its the answer to all the bs,0.0,0.0,1.0,0.0,Neutral,"['come', 'to', 'rumblevideo', 'its', 'the', 'answer', 'to', 'all', 'the', 'bs']",come rumblevideo answer bs,"['come', 'rumblevideo', 'answer', 'bs']","['come', 'rumblevideo', 'answer', 'b']"
Frantendo0,vuqereapz kann kein englisch,0.0,0.0,1.0,0.0,Neutral,"['vuqereapz', 'kann', 'kein', 'englisch']",vuqereapz kann kein englisch,"['vuqereapz', 'kann', 'kein', 'englisch']","['vuqereapz', 'kann', 'kein', 'englisch']"
Supernt100,ok guys now to get sponsors to get fucked on stream dont worry since youre a female youll only get a,0.19,0.152,0.658,-0.396,Negative,"['ok', 'guys', 'now', 'to', 'get', 'sponsors', 'to', 'get', 'fucked', 'on', 'stream', 'dont', 'worry', 'since', 'youre', 'a', 'female', 'youll', 'only', 'get', 'a']",ok guys get sponsors get fucked stream dont worry since youre female youll get,"['ok', 'guy', 'get', 'sponsor', 'get', 'fuck', 'stream', 'dont', 'worri', 'sinc', 'your', 'femal', 'youll', 'get']","['ok', 'guy', 'get', 'sponsor', 'get', 'fuck', 'stream', 'dont', 'worry', 'since', 'youre', 'female', 'youll', 'get']"
zfxlipe,blaze t liberada tropa,0.0,0.0,1.0,0.0,Neutral,"['blaze', 't', 'liberada', 'tropa']",blaze liberada tropa,"['blaze', 'liberada', 'tropa']","['blaze', 'liberada', 'tropa']"
taaaibu,nice,0.737,0.0,0.263,0.4215,Positive,['nice'],nice,['nice'],['nice']
AlessandroBrena,sports betting and poker are not gambling  u gang of clowns,0.0,0.0,1.0,0.0,Neutral,"['sports', 'betting', 'and', 'poker', 'are', 'not', 'gambling', 'u', 'gang', 'of', 'clowns']",sports betting poker gambling u gang clowns,"['sport', 'bet', 'poker', 'gambl', 'u', 'gang', 'clown']","['sport', 'bet', 'poker', 'gamble', 'u', 'gang', 'clown']"
Kamui079,poker meta inc,0.0,0.0,1.0,0.0,Neutral,"['poker', 'meta', 'inc']",poker meta inc,"['poker', 'meta', 'inc']","['poker', 'meta', 'inc']"
LucaDelvais,kuss auf die nuss,0.0,0.494,0.506,-0.5994,Negative,"['kuss', 'auf', 'die', 'nuss']",kuss auf die nuss,"['kuss', 'auf', 'die', 'nuss']","['kuss', 'auf', 'die', 'nu']"
srrider78,is pokerstreaming also banned,0.0,0.429,0.571,-0.4588,Negative,"['is', 'pokerstreaming', 'also', 'banned']",pokerstreaming also banned,"['pokerstream', 'also', 'ban']","['pokerstreaming', 'also', 'ban']"
VelikostC,does this include the various ea sports series,0.0,0.0,1.0,0.0,Neutral,"['does', 'this', 'include', 'the', 'various', 'ea', 'sports', 'series']",include various ea sports series,"['includ', 'various', 'ea', 'sport', 'seri']","['include', 'various', 'ea', 'sport', 'series']"
Rayjhinducing,so what about hot tubs and pools dont allow gambling but allow softcore porn and promotions of onlyfans,0.0,0.178,0.822,-0.4003,Negative,"['so', 'what', 'about', 'hot', 'tubs', 'and', 'pools', 'dont', 'allow', 'gambling', 'but', 'allow', 'softcore', 'porn', 'and', 'promotions', 'of', 'onlyfans']",hot tubs pools dont allow gambling allow softcore porn promotions onlyfans,"['hot', 'tub', 'pool', 'dont', 'allow', 'gambl', 'allow', 'softcor', 'porn', 'promot', 'onlyfan']","['hot', 'tub', 'pool', 'dont', 'allow', 'gamble', 'allow', 'softcore', 'porn', 'promotion', 'onlyfans']"
VioletBeautyXo,ratio,0.0,0.0,1.0,0.0,Neutral,['ratio'],ratio,['ratio'],['ratio']
PurplePopRockz,what if its legal in ur country ur streaming from and u dont share link or codes can u still play this,0.253,0.0,0.747,0.6249,Positive,"['what', 'if', 'its', 'legal', 'in', 'ur', 'country', 'ur', 'streaming', 'from', 'and', 'u', 'dont', 'share', 'link', 'or', 'codes', 'can', 'u', 'still', 'play', 'this']",legal ur country ur streaming u dont share link codes u still play,"['legal', 'ur', 'countri', 'ur', 'stream', 'u', 'dont', 'share', 'link', 'code', 'u', 'still', 'play']","['legal', 'ur', 'country', 'ur', 'stream', 'u', 'dont', 'share', 'link', 'code', 'u', 'still', 'play']"
Cyril2nd,pour mettre des embargos sur les slots il y a du monde par contre pour mettre un embargo sur la grosse pute,0.0,0.0,1.0,0.0,Neutral,"['pour', 'mettre', 'des', 'embargos', 'sur', 'les', 'slots', 'il', 'y', 'a', 'du', 'monde', 'par', 'contre', 'pour', 'mettre', 'un', 'embargo', 'sur', 'la', 'grosse', 'pute']",pour mettre des embargos sur les slots il du monde par contre pour mettre un embargo sur la grosse pute,"['pour', 'mettr', 'des', 'embargo', 'sur', 'les', 'slot', 'il', 'du', 'mond', 'par', 'contr', 'pour', 'mettr', 'un', 'embargo', 'sur', 'la', 'gross', 'pute']","['pour', 'mettre', 'de', 'embargo', 'sur', 'le', 'slot', 'il', 'du', 'monde', 'par', 'contre', 'pour', 'mettre', 'un', 'embargo', 'sur', 'la', 'grosse', 'pute']"
addtocartfailed,im just here muting all the creators in hopes i never see their content again,0.167,0.0,0.833,0.4215,Positive,"['im', 'just', 'here', 'muting', 'all', 'the', 'creators', 'in', 'hopes', 'i', 'never', 'see', 'their', 'content', 'again']",im muting creators hopes never see content,"['im', 'mute', 'creator', 'hope', 'never', 'see', 'content']","['im', 'mute', 'creator', 'hop', 'never', 'see', 'content']"
FortuneJrV1,yeah but hot tub streams are allowed though to fuel porn addicts  backwards site,0.096,0.0,0.904,0.1531,Positive,"['yeah', 'but', 'hot', 'tub', 'streams', 'are', 'allowed', 'though', 'to', 'fuel', 'porn', 'addicts', 'backwards', 'site']",yeah hot tub streams allowed though fuel porn addicts backwards site,"['yeah', 'hot', 'tub', 'stream', 'allow', 'though', 'fuel', 'porn', 'addict', 'backward', 'site']","['yeah', 'hot', 'tub', 'stream', 'allow', 'though', 'fuel', 'porn', 'addict', 'backwards', 'site']"
jexydoos,thank you,0.556,0.0,0.444,0.3612,Positive,"['thank', 'you']",thank,['thank'],['thank']
feeldeaaath,scurrows,0.0,0.0,1.0,0.0,Neutral,['scurrows'],scurrows,['scurrow'],['scurrows']
moor_roberto,no gambling on twitch but allowing for women for have borderline topless streams on a platform of impressi,0.0,0.082,0.918,-0.1531,Negative,"['no', 'gambling', 'on', 'twitch', 'but', 'allowing', 'for', 'women', 'for', 'have', 'borderline', 'topless', 'streams', 'on', 'a', 'platform', 'of', 'impressi']",gambling twitch allowing women borderline topless streams platform impressi,"['gambl', 'twitch', 'allow', 'women', 'borderlin', 'topless', 'stream', 'platform', 'impressi']","['gamble', 'twitch', 'allow', 'woman', 'borderline', 'topless', 'stream', 'platform', 'impressi']"
Riizons,soooo what people that stream from the uk cant gamble live but americans can makes sense,0.0,0.0,1.0,0.0,Neutral,"['soooo', 'what', 'people', 'that', 'stream', 'from', 'the', 'uk', 'cant', 'gamble', 'live', 'but', 'americans', 'can', 'makes', 'sense']",soooo people stream uk cant gamble live americans makes sense,"['soooo', 'peopl', 'stream', 'uk', 'cant', 'gambl', 'live', 'american', 'make', 'sens']","['soooo', 'people', 'stream', 'uk', 'cant', 'gamble', 'live', 'american', 'make', 'sense']"
Evill_01,when will you ban boobs,0.0,0.419,0.581,-0.5574,Negative,"['when', 'will', 'you', 'ban', 'boobs']",ban boobs,"['ban', 'boob']","['ban', 'boob']"
appleshoops,rare twitch w  good job,0.42,0.0,0.58,0.4404,Positive,"['rare', 'twitch', 'w', 'good', 'job']",rare twitch w good job,"['rare', 'twitch', 'w', 'good', 'job']","['rare', 'twitch', 'w', 'good', 'job']"
Miles90141178,es ist halt wirklich traurig zusehen wie dumm teilweise streamer auf twitchde sind es scheint als wrden,0.0,0.0,1.0,0.0,Neutral,"['es', 'ist', 'halt', 'wirklich', 'traurig', 'zusehen', 'wie', 'dumm', 'teilweise', 'streamer', 'auf', 'twitchde', 'sind', 'es', 'scheint', 'als', 'wrden']",es ist halt wirklich traurig zusehen wie dumm teilweise streamer auf twitchde sind es scheint als wrden,"['es', 'ist', 'halt', 'wirklich', 'traurig', 'zusehen', 'wie', 'dumm', 'teilweis', 'streamer', 'auf', 'twitchd', 'sind', 'es', 'scheint', 'al', 'wrden']","['es', 'ist', 'halt', 'wirklich', 'traurig', 'zusehen', 'wie', 'dumm', 'teilweise', 'streamer', 'auf', 'twitchde', 'sind', 'es', 'scheint', 'al', 'wrden']"
DorsKk,poker is safe  ,0.492,0.0,0.508,0.4404,Positive,"['poker', 'is', 'safe']",poker safe,"['poker', 'safe']","['poker', 'safe']"
porgieTV,crazy drama me likey,0.0,0.375,0.625,-0.34,Negative,"['crazy', 'drama', 'me', 'likey']",crazy drama likey,"['crazi', 'drama', 'likey']","['crazy', 'drama', 'likey']"
twitchtvccr4nk,hot tubs are okay women halfnaked show their ass and tits the main thing is that it rains money the mai,0.07,0.198,0.733,-0.5423,Negative,"['hot', 'tubs', 'are', 'okay', 'women', 'halfnaked', 'show', 'their', 'ass', 'and', 'tits', 'the', 'main', 'thing', 'is', 'that', 'it', 'rains', 'money', 'the', 'mai']",hot tubs okay women halfnaked show ass tits main thing rains money mai,"['hot', 'tub', 'okay', 'women', 'halfnak', 'show', 'ass', 'tit', 'main', 'thing', 'rain', 'money', 'mai']","['hot', 'tub', 'okay', 'woman', 'halfnaked', 'show', 'as', 'tit', 'main', 'thing', 'rain', 'money', 'mai']"
ShinysWrld,ggwp scurrows orangemorangee,0.0,0.0,1.0,0.0,Neutral,"['ggwp', 'scurrows', 'orangemorangee']",ggwp scurrows orangemorangee,"['ggwp', 'scurrow', 'orangemorange']","['ggwp', 'scurrows', 'orangemorangee']"
Christo32895641,surely introducing age verification and then only allowing those of legal age to watch gambling streams would be a better solution,0.361,0.0,0.639,0.8225,Positive,"['surely', 'introducing', 'age', 'verification', 'and', 'then', 'only', 'allowing', 'those', 'of', 'legal', 'age', 'to', 'watch', 'gambling', 'streams', 'would', 'be', 'a', 'better', 'solution']",surely introducing age verification allowing legal age watch gambling streams would better solution,"['sure', 'introduc', 'age', 'verif', 'allow', 'legal', 'age', 'watch', 'gambl', 'stream', 'would', 'better', 'solut']","['surely', 'introduce', 'age', 'verification', 'allow', 'legal', 'age', 'watch', 'gamble', 'stream', 'would', 'better', 'solution']"
streetweasel74,gambling on twitch what are the odds,0.0,0.0,1.0,0.0,Neutral,"['gambling', 'on', 'twitch', 'what', 'are', 'the', 'odds']",gambling twitch odds,"['gambl', 'twitch', 'odd']","['gamble', 'twitch', 'odds']"
deathbrewed,twitch actually run by that catfish pokimane  pathetic bunch,0.0,0.291,0.709,-0.5719,Negative,"['twitch', 'actually', 'run', 'by', 'that', 'catfish', 'pokimane', 'pathetic', 'bunch']",twitch actually run catfish pokimane pathetic bunch,"['twitch', 'actual', 'run', 'catfish', 'pokiman', 'pathet', 'bunch']","['twitch', 'actually', 'run', 'catfish', 'pokimane', 'pathetic', 'bunch']"
Sup3rN0vaa,i think you should do something about people getting fucked on stream weekly,0.0,0.268,0.732,-0.6597,Negative,"['i', 'think', 'you', 'should', 'do', 'something', 'about', 'people', 'getting', 'fucked', 'on', 'stream', 'weekly']",think something people getting fucked stream weekly,"['think', 'someth', 'peopl', 'get', 'fuck', 'stream', 'week']","['think', 'something', 'people', 'get', 'fucked', 'stream', 'weekly']"
TomyGentile,yo u guys dont have in mind that many people is losing his job or a a great income help if nobody messes w,0.231,0.088,0.68,0.6369,Positive,"['yo', 'u', 'guys', 'dont', 'have', 'in', 'mind', 'that', 'many', 'people', 'is', 'losing', 'his', 'job', 'or', 'a', 'a', 'great', 'income', 'help', 'if', 'nobody', 'messes', 'w']",yo u guys dont mind many people losing job great income help nobody messes w,"['yo', 'u', 'guy', 'dont', 'mind', 'mani', 'peopl', 'lose', 'job', 'great', 'incom', 'help', 'nobodi', 'mess', 'w']","['yo', 'u', 'guy', 'dont', 'mind', 'many', 'people', 'lose', 'job', 'great', 'income', 'help', 'nobody', 'mess', 'w']"
NL_DoubleZ,what about games with too much lootboxes ,0.0,0.0,1.0,0.0,Neutral,"['what', 'about', 'games', 'with', 'too', 'much', 'lootboxes']",games much lootboxes,"['game', 'much', 'lootbox']","['game', 'much', 'lootboxes']"
CelerySorbet,never buy a cursed mansion,0.0,0.0,1.0,0.0,Neutral,"['never', 'buy', 'a', 'cursed', 'mansion']",never buy cursed mansion,"['never', 'buy', 'curs', 'mansion']","['never', 'buy', 'cursed', 'mansion']"
PaulFelixKelly,fucking finally took you long enough,0.0,0.0,1.0,0.0,Neutral,"['fucking', 'finally', 'took', 'you', 'long', 'enough']",fucking finally took long enough,"['fuck', 'final', 'took', 'long', 'enough']","['fuck', 'finally', 'take', 'long', 'enough']"
g1bb0,about time but doesnt go far enough,0.0,0.0,1.0,0.0,Neutral,"['about', 'time', 'but', 'doesnt', 'go', 'far', 'enough']",time doesnt go far enough,"['time', 'doesnt', 'go', 'far', 'enough']","['time', 'doesnt', 'go', 'far', 'enough']"
GoldenApple0912,but every streamers are too pussy to say how shit this platform is cuz its their only slurce of income wit,0.0,0.182,0.818,-0.7096,Negative,"['but', 'every', 'streamers', 'are', 'too', 'pussy', 'to', 'say', 'how', 'shit', 'this', 'platform', 'is', 'cuz', 'its', 'their', 'only', 'slurce', 'of', 'income', 'wit']",every streamers pussy say shit platform cuz slurce income wit,"['everi', 'streamer', 'pussi', 'say', 'shit', 'platform', 'cuz', 'slurc', 'incom', 'wit']","['every', 'streamer', 'pussy', 'say', 'shit', 'platform', 'cuz', 'slurce', 'income', 'wit']"
Callum09931274,but can watch a girl getting fucked on stream,0.0,0.433,0.567,-0.7964,Negative,"['but', 'can', 'watch', 'a', 'girl', 'getting', 'fucked', 'on', 'stream']",watch girl getting fucked stream,"['watch', 'girl', 'get', 'fuck', 'stream']","['watch', 'girl', 'get', 'fuck', 'stream']"
ProphetMufasa,but women can still get almost completely naked and have extremely sexual streams,0.0,0.0,1.0,0.0,Neutral,"['but', 'women', 'can', 'still', 'get', 'almost', 'completely', 'naked', 'and', 'have', 'extremely', 'sexual', 'streams']",women still get almost completely naked extremely sexual streams,"['women', 'still', 'get', 'almost', 'complet', 'nake', 'extrem', 'sexual', 'stream']","['woman', 'still', 'get', 'almost', 'completely', 'naked', 'extremely', 'sexual', 'stream']"
vSnaniel,twitch ,0.0,0.0,1.0,0.0,Neutral,['twitch'],twitch,['twitch'],['twitch']
GoldenApple0912,what a fucked up platform,0.0,0.524,0.476,-0.6597,Negative,"['what', 'a', 'fucked', 'up', 'platform']",fucked platform,"['fuck', 'platform']","['fuck', 'platform']"
alexjellis3,unban jidion6,0.0,0.0,1.0,0.0,Neutral,"['unban', 'jidion', '6']",unban jidion 6,"['unban', 'jidion', '6']","['unban', 'jidion', '6']"
AehronTheInsane,sonecarox rip galo ,0.0,0.0,1.0,0.0,Neutral,"['sonecarox', 'rip', 'galo']",sonecarox rip galo,"['sonecarox', 'rip', 'galo']","['sonecarox', 'rip', 'galo']"
DanTheRocheMan,tickettimeyt oh dear lol,0.643,0.0,0.357,0.6597,Positive,"['tickettimeyt', 'oh', 'dear', 'lol']",tickettimeyt oh dear lol,"['tickettimeyt', 'oh', 'dear', 'lol']","['tickettimeyt', 'oh', 'dear', 'lol']"
JestemPlunk,start maybe doing something with hoes moving their butt and sitting halfnaked on stream and making money o,0.0,0.0,1.0,0.0,Neutral,"['start', 'maybe', 'doing', 'something', 'with', 'hoes', 'moving', 'their', 'butt', 'and', 'sitting', 'halfnaked', 'on', 'stream', 'and', 'making', 'money', 'o']",start maybe something hoes moving butt sitting halfnaked stream making money,"['start', 'mayb', 'someth', 'hoe', 'move', 'butt', 'sit', 'halfnak', 'stream', 'make', 'money']","['start', 'maybe', 'something', 'hoe', 'move', 'butt', 'sit', 'halfnaked', 'stream', 'make', 'money']"
boromir691,good job twitch,0.516,0.0,0.484,0.4926,Positive,"['good', 'job', 'twitch']",good job twitch,"['good', 'job', 'twitch']","['good', 'job', 'twitch']"
cwolf20,been one for longer than 5 years i thought but good going catching up finally,0.228,0.0,0.772,0.5927,Positive,"['been', 'one', 'for', 'longer', 'than', '5', 'years', 'i', 'thought', 'but', 'good', 'going', 'catching', 'up', 'finally']",one longer 5 years thought good going catching finally,"['one', 'longer', '5', 'year', 'thought', 'good', 'go', 'catch', 'final']","['one', 'long', '5', 'year', 'think', 'good', 'go', 'catch', 'finally']"
viniciusestuqui,eu vo,0.0,0.0,1.0,0.0,Neutral,"['eu', 'vo']",eu vo,"['eu', 'vo']","['eu', 'vo']"
GustavoAndrBra1,acabou com a cassinagem na streams,0.0,0.0,1.0,0.0,Neutral,"['acabou', 'com', 'a', 'cassinagem', 'na', 'streams']",acabou com cassinagem na streams,"['acabou', 'com', 'cassinagem', 'na', 'stream']","['acabou', 'com', 'cassinagem', 'na', 'stream']"
999_reze,w twitch und jetzt noch die ganzen hot tube lampen weg und dann is twitch wieder halbwegs sauber,0.0,0.187,0.813,-0.5994,Negative,"['w', 'twitch', 'und', 'jetzt', 'noch', 'die', 'ganzen', 'hot', 'tube', 'lampen', 'weg', 'und', 'dann', 'is', 'twitch', 'wieder', 'halbwegs', 'sauber']",w twitch und jetzt noch die ganzen hot tube lampen weg und dann twitch wieder halbwegs sauber,"['w', 'twitch', 'und', 'jetzt', 'noch', 'die', 'ganzen', 'hot', 'tube', 'lampen', 'weg', 'und', 'dann', 'twitch', 'wieder', 'halbweg', 'sauber']","['w', 'twitch', 'und', 'jetzt', 'noch', 'die', 'ganzen', 'hot', 'tube', 'lampen', 'weg', 'und', 'dann', 'twitch', 'wieder', 'halbwegs', 'sauber']"
Atoxina01,twitch ,0.0,0.0,1.0,0.0,Neutral,['twitch'],twitch,['twitch'],['twitch']
Che77o,endlich aber trotzdem viel zu spt,0.0,0.0,1.0,0.0,Neutral,"['endlich', 'aber', 'trotzdem', 'viel', 'zu', 'spt']",endlich aber trotzdem viel zu spt,"['endlich', 'aber', 'trotzdem', 'viel', 'zu', 'spt']","['endlich', 'aber', 'trotzdem', 'viel', 'zu', 'spt']"
MrRoni_41,orangemorangee haha,0.651,0.0,0.349,0.5766,Positive,"['orangemorangee', 'haha']",orangemorangee haha,"['orangemorange', 'haha']","['orangemorangee', 'haha']"
williamsnick73,the amount of adverts on your platform is beyond obscene,0.0,0.29,0.71,-0.6239,Negative,"['the', 'amount', 'of', 'adverts', 'on', 'your', 'platform', 'is', 'beyond', 'obscene']",amount adverts platform beyond obscene,"['amount', 'advert', 'platform', 'beyond', 'obscen']","['amount', 'advert', 'platform', 'beyond', 'obscene']"
CrowZephire,huge w,0.697,0.0,0.303,0.3182,Positive,"['huge', 'w']",huge w,"['huge', 'w']","['huge', 'w']"
Splat_Pearled,twitch did something good for once,0.326,0.0,0.674,0.4404,Positive,"['twitch', 'did', 'something', 'good', 'for', 'once']",twitch something good,"['twitch', 'someth', 'good']","['twitch', 'something', 'good']"
TBirbb,theyre evolving,0.0,0.0,1.0,0.0,Neutral,"['theyre', 'evolving']",theyre evolving,"['theyr', 'evolv']","['theyre', 'evolve']"
Taukk2D,microtransactions are no more,0.0,0.384,0.616,-0.3595,Negative,"['microtransactions', 'are', 'no', 'more']",microtransactions,['microtransact'],['microtransactions']
OGAntique,can we now tackle the issue with hot tub streams being a thing and something like this not belonging on a s,0.106,0.0,0.894,0.3612,Positive,"['can', 'we', 'now', 'tackle', 'the', 'issue', 'with', 'hot', 'tub', 'streams', 'being', 'a', 'thing', 'and', 'something', 'like', 'this', 'not', 'belonging', 'on', 'a', 's']",tackle issue hot tub streams thing something like belonging,"['tackl', 'issu', 'hot', 'tub', 'stream', 'thing', 'someth', 'like', 'belong']","['tackle', 'issue', 'hot', 'tub', 'stream', 'thing', 'something', 'like', 'belong']"
CopyX_LoL,tons of gambling like axie infinity game,0.263,0.0,0.737,0.3612,Positive,"['tons', 'of', 'gambling', 'like', 'axie', 'infinity', 'game']",tons gambling like axie infinity game,"['ton', 'gambl', 'like', 'axi', 'infin', 'game']","['ton', 'gamble', 'like', 'axie', 'infinity', 'game']"
LickMyRomy,was about damn time,0.0,0.403,0.597,-0.4019,Negative,"['was', 'about', 'damn', 'time']",damn time,"['damn', 'time']","['damn', 'time']"
Spoxnus86,great work twitch one thing why did it take losing money for you to do something about it this has been,0.148,0.094,0.758,0.3612,Positive,"['great', 'work', 'twitch', 'one', 'thing', 'why', 'did', 'it', 'take', 'losing', 'money', 'for', 'you', 'to', 'do', 'something', 'about', 'it', 'this', 'has', 'been']",great work twitch one thing take losing money something,"['great', 'work', 'twitch', 'one', 'thing', 'take', 'lose', 'money', 'someth']","['great', 'work', 'twitch', 'one', 'thing', 'take', 'lose', 'money', 'something']"
muhammadkesuma,rizkopranata amouranth kaga di ban si goblok wkwk dri dlu admin twitch ini sangean,0.0,0.205,0.795,-0.5574,Negative,"['rizkopranata', 'amouranth', 'kaga', 'di', 'ban', 'si', 'goblok', 'wkwk', 'dri', 'dlu', 'admin', 'twitch', 'ini', 'sangean']",rizkopranata amouranth kaga di ban si goblok wkwk dri dlu admin twitch ini sangean,"['rizkopranata', 'amouranth', 'kaga', 'di', 'ban', 'si', 'goblok', 'wkwk', 'dri', 'dlu', 'admin', 'twitch', 'ini', 'sangean']","['rizkopranata', 'amouranth', 'kaga', 'di', 'ban', 'si', 'goblok', 'wkwk', 'dri', 'dlu', 'admin', 'twitch', 'ini', 'sangean']"
bywydyrafalhwn,your website has become a harbour of pornographic videos that literally do not get banned i can also start,0.121,0.0,0.879,0.357,Positive,"['your', 'website', 'has', 'become', 'a', 'harbour', 'of', 'pornographic', 'videos', 'that', 'literally', 'do', 'not', 'get', 'banned', 'i', 'can', 'also', 'start']",website become harbour pornographic videos literally get banned also start,"['websit', 'becom', 'harbour', 'pornograph', 'video', 'liter', 'get', 'ban', 'also', 'start']","['website', 'become', 'harbour', 'pornographic', 'video', 'literally', 'get', 'ban', 'also', 'start']"
Janesuu03,codesachiko,0.0,0.0,1.0,0.0,Neutral,['codesachiko'],codesachiko,['codesachiko'],['codesachiko']
LouisVeritas,good now ban the hot tubcleavage thots preying on simps,0.187,0.232,0.581,-0.1779,Negative,"['good', 'now', 'ban', 'the', 'hot', 'tubcleavage', 'thots', 'preying', 'on', 'simps']",good ban hot tubcleavage thots preying simps,"['good', 'ban', 'hot', 'tubcleavag', 'thot', 'prey', 'simp']","['good', 'ban', 'hot', 'tubcleavage', 'thots', 'prey', 'simps']"
josch89,therealknossi wird wohl nix mehr d,0.402,0.0,0.598,0.6166,Positive,"['therealknossi', 'wird', 'wohl', 'nix', 'mehr', 'd']",therealknossi wird wohl nix mehr,"['therealknossi', 'wird', 'wohl', 'nix', 'mehr']","['therealknossi', 'wird', 'wohl', 'nix', 'mehr']"
Baarman_19,merci,0.0,0.0,1.0,0.0,Neutral,['merci'],merci,['merci'],['merci']
Lalatte30,ok ,0.688,0.0,0.312,0.296,Positive,['ok'],ok,['ok'],['ok']
TurboLp,big topic in your so called community are twitch thots that arent getting banned for sexual acts or dressin,0.11,0.0,0.89,0.357,Positive,"['big', 'topic', 'in', 'your', 'so', 'called', 'community', 'are', 'twitch', 'thots', 'that', 'arent', 'getting', 'banned', 'for', 'sexual', 'acts', 'or', 'dressin']",big topic called community twitch thots arent getting banned sexual acts dressin,"['big', 'topic', 'call', 'communiti', 'twitch', 'thot', 'arent', 'get', 'ban', 'sexual', 'act', 'dressin']","['big', 'topic', 'call', 'community', 'twitch', 'thots', 'arent', 'get', 'ban', 'sexual', 'act', 'dressin']"
ItsSunnyAlex,you banned gambling faster than you banned porn on your services fucking imagine,0.0,0.333,0.667,-0.7184,Negative,"['you', 'banned', 'gambling', 'faster', 'than', 'you', 'banned', 'porn', 'on', 'your', 'services', 'fucking', 'imagine']",banned gambling faster banned porn services fucking imagine,"['ban', 'gambl', 'faster', 'ban', 'porn', 'servic', 'fuck', 'imagin']","['ban', 'gamble', 'faster', 'ban', 'porn', 'service', 'fuck', 'imagine']"
_rafoo_,how about you ban all the people making absurd amounts of money by doing literal soft core porn,0.0,0.167,0.833,-0.5574,Negative,"['how', 'about', 'you', 'ban', 'all', 'the', 'people', 'making', 'absurd', 'amounts', 'of', 'money', 'by', 'doing', 'literal', 'soft', 'core', 'porn']",ban people making absurd amounts money literal soft core porn,"['ban', 'peopl', 'make', 'absurd', 'amount', 'money', 'liter', 'soft', 'core', 'porn']","['ban', 'people', 'make', 'absurd', 'amount', 'money', 'literal', 'soft', 'core', 'porn']"
DanChurchy,but live sex shows strip shows and these hot tub underwear shows are perfectly okay if youre going to ba,0.29,0.0,0.71,0.8462,Positive,"['but', 'live', 'sex', 'shows', 'strip', 'shows', 'and', 'these', 'hot', 'tub', 'underwear', 'shows', 'are', 'perfectly', 'okay', 'if', 'youre', 'going', 'to', 'ba']",live sex shows strip shows hot tub underwear shows perfectly okay youre going ba,"['live', 'sex', 'show', 'strip', 'show', 'hot', 'tub', 'underwear', 'show', 'perfect', 'okay', 'your', 'go', 'ba']","['live', 'sex', 'show', 'strip', 'show', 'hot', 'tub', 'underwear', 'show', 'perfectly', 'okay', 'youre', 'go', 'ba']"
VirtualSports4,metaracingfan,0.0,0.0,1.0,0.0,Neutral,['metaracingfan'],metaracingfan,['metaracingfan'],['metaracingfan']
Apen_melker,will this affect games like gta where people can go to the casino and bet on horses and slotmachines etc,0.111,0.0,0.889,0.3612,Positive,"['will', 'this', 'affect', 'games', 'like', 'gta', 'where', 'people', 'can', 'go', 'to', 'the', 'casino', 'and', 'bet', 'on', 'horses', 'and', 'slotmachines', 'etc']",affect games like gta people go casino bet horses slotmachines etc,"['affect', 'game', 'like', 'gta', 'peopl', 'go', 'casino', 'bet', 'hors', 'slotmachin', 'etc']","['affect', 'game', 'like', 'gta', 'people', 'go', 'casino', 'bet', 'horse', 'slotmachines', 'etc']"
ZipLud,fact 99998 of gambling addicts quit right before hitting the jackpot,0.0,0.0,1.0,0.0,Neutral,"['fact', '99998', 'of', 'gambling', 'addicts', 'quit', 'right', 'before', 'hitting', 'the', 'jackpot']",fact 99998 gambling addicts quit right hitting jackpot,"['fact', '99998', 'gambl', 'addict', 'quit', 'right', 'hit', 'jackpot']","['fact', '99998', 'gambling', 'addict', 'quit', 'right', 'hit', 'jackpot']"
